,name,title,ratting,review
10,Gloria Gilmore,Good buy,5.0,"
It came in perfect shape and works perfectly 👌 👍
"
11,Robert,Good deal.,5.0,"
Package Contained everything. Shipping Was a bit delayed dude to weather but that's irrelevant.
"
12,Loree,Gaming system,5.0,"
Very small and convenient doesn’t take up a lot of space, just what I was looking for. Worth it
"
13,Frank Arangio,Nice,5.0,"
Whis it had more space but works well
"
14,Adrian mauricio Motta giraldo,Perfect,5.0,"
Next Gen Unlocked
"
15,Amazon Customer,Daughter is happy,5.0,"
All I cared that my daughter is happy with it and it came with 3 months free games of
"
16,Erica Masse,Exactly as advertised,5.0,"
Received in new condition and quickly
"
17,Douglas  Andrew,Great!,5.0,"
Great product!
"
18,Sonia,Muy bueno mi hijo está muy contento,5.0,"
Lo mejor de lo mejor llego antes de tiempo y el empaque perfecto muchas gracias la sonrisa de mi hijo cuando lo vio
"
19,TJ Page,"Comes with everything, exactly what I wanted",5.0,"
10/10 getting this was a christmas miracle. Came with console, controller, cords that are needed and 3 months of game pass at a good price. Get it while you can
"
20,Taylor Head,Gift for Husband,5.0,"
We replaced the meta quest with this because of the motion sickness my husband experienced and he has played it just about every day since!
"
21,Annaliza Ramon,Perfect,5.0,"
Great gift bundle and great price.. It was my first time buying a game system and everything came in it that we needed
"
22,Amazon Customer,Son loves,5.0,"
Bought for my 19 year old son for Christmas. He got it early. He wanted an upgrade from his old Xbox one s. He enjoys playing on his time off from college. He loves the upgrade and that it stands straight up and not lay down to take up less room
"
23,PEACHYHOLLY,Great starter system,5.0,"
My son loves it. Wondering if those complaining about missing controller and cords just missed them in the box. They are in separate a white box that is missed at first glance.
"
24,Dom,GREAT!!,5.0,"
A good product for such a cheap price.
"
25,Tommy Stansbury,great x box,5.0,"
works well can bring up what i need to see
"
26,T,Good Price,5.0,"
Good starter gaming bundle for anyone.
"
27,Bob,"Yes, folks, it DOES include GAME PASS ULTIMATE for 3 months.",5.0,"
Smaller, more compact than it's rival (see photo). Great little gaming console. Arrived today as an early Christmas present for my son. So many reviews complain about the 3 months of Game Pass Ultimate not being in the box....Folks, actually set up and try your products before reviewing them please! When you complete the setup with the XBox app on your phone (as the console prompts you to do when it is turned on), it walks you through the steps to complete the console setup....but wait, there's more! It also....  ::shocker:: ....lets you sign up for the free three months of Game Pass Ultimate.So, instead of a knee-jerk reaction to poor marketing (i.e. - the appearance of an actual ""product"" representing the 3-month pass in the product imaging), actually set some stuff up before you run to the internet to complain?
"
28,Edward,Excelent!,5.0,"
Good Console!!
"
29,James Jackson,Great seller,5.0,"
A+ deliver and works as intended.
"
30,Dereck.CR,Very good for a first experience,5.0,"
This was my first time purchasing a Xbox brand item, very happy with it, includes 3 months membership that can be exchange when you prefer.
"
31,Lois A. Martinez,Excellent purchase,5.0,"
Excellent purchase. Came earlier than expected! And gently delivered. Thank you!
"
32,Jennifer Hoffman,Xbox series s....what a great gift!,5.0,"
My son is in awe!
"
33,Pedro Orellana,Thank u,5.0,"
My son is happy
"
34,Lillian,Great!,5.0,"
It’s just great
"
35,Nora walden,My game pass is missing,3.0,"
This product was great for our 8 year old but he was upset that the game pass was missing. Out box even clear states that the game pass is included. So we have a sorta disappointed man.
"
36,Rachel G.,"for me it took 3 weeks to come and there were delays, but the product  its self was good.",3.0,"
meh
"
37,Ramona,Great gift,3.0,"
Bought for son for Christmas but can’t figured out how to get the 3 months free
"
38,Tammy,the game pass was not included its just a scam to me.,3.0,"
the product did not include the 3 month game pass, im very disappointed. i need a refund
"
39,Carissa Curlutu,As expected,3.0,"
The product is as expected, my only complaint is it was shipped to me with no outer packaging to protect the Xbox itself.
"
40,Matthew,No game pass included,2.0,"
I bought this product because it advertised it coming with a 3 month game pass. We opened it on Christmas morning to find that no game pass was include or it was missing.
"
41,Miriam Rubino,It’s not working.,2.0,"
So disappointed after waiting 2 weeks it came out of the box not working :(Sending it back
"
42,jay,HDMI cord,2.0,"
HDMI cord doesn't even work so I can't use it
"
43,Christine Page,Very Sad :((,1.0,"




                    The media could not be loaded.
                



 Waited a whole 3 weeks to open it up. When i did the UPS and original xbox packaging were busted up. I opened it up and did the initial setup and after, there was no audio output. The xbox would then turn off and on repeatedly. The resolution was also all distorted. I tried multiple times changing HDMI cords and trying to change audio output settings on both the xbox and tv but no luck. I even plugged in my original xbox one and it still had audio and the same tv, hdmi everything. I will be returning and maybe trying again? Super sad and disappointed :( And yes, i made sure my tv wasnt muted 😂
"
44,Nick,"Shipped without any additional packaging, memory is pathetic.",1.0,"
This was a Christmas present and it was shipped in the Xbox box, no external packaging, no bubble wrap or air packs, just a packing slip slapped on the same packaging you'd have if you bought this at a store. 500GB also filled up almost Immediately, three games and the memories almost full. Yeah I could've got the 1TB version but then they'd still only be able to get about 7 games on it. These massive games with constant updates are getting ridiculous and as long as we keep buying they'll keep doing it.
"
45,S. B.,Game Pass Doesn’t work and only 360gb,1.0,"
Game pass was already redeemed so we do not have the 3 month unlimited subscription as advertised. At no point during the set up was I prompted to set up the game pass. After calling both xbox and amazon multiple times there was no resolution or explanation other than we were scammed by the seller and the 3 month offer had already been redeemed by someone else or was never valid.Also its advertised its a 512gb system but it’s actually about 360gb after the operating system updates.Supposed to be a special gift from santa has now turned into a headache.
"
46,Edward Altner,3 Month Game was never included with purchase,1.0,"
My son was so excited to receive his Xbox for Christmas and after he got it all set up and logged in, we noticed that he never received the 3-month game pass that was supposed to be included. VERY DISAPPOINTED! How do I go about getting the game pass sent to me that should have arrived with our purchase??
"
47,Jessica Mapes,Power supply didn’t work,1.0,"
I got this for my son for Christmas but when using this the power supply didn’t work or something and would just shut off.  I ended up just returning this which was easy and bought brand new system from a local store instead.  Was disappointing since it was a Christmas present for my 8 year old son.
"
48,Ronald Rowland,MICROSOFT FALSE ADVERTISING BUT SUNCE ITS MICROSOFT THEY WILL GET AW,1.0,"
XBox all digital says it's comipatible with all games and it's not all the games i have on disc will play on it like it's advertised.  So that would be in my mind FALSE ADVERTISING BUT SUNCE ITS MICROSOFT THEY WILL GET AWAY WITH IT.
"
49,Pierce,Doesn’t power on,1.0,"
Doesn’t power on
"
50,Amazon Customer,No Game pass,1.0,"
I bought the Xbox, when I opened there is no game pass, 😡
"
51,Jenna Kennedy,Great purchase and I ended up buying 2,5.0,"
I was new to gaming and didn’t want to spend a fortune in case I didn’t like it.  It’s been amazing.  I did have to add the seagate expansion 1TB card due to most new games like COD and Starfield taking up so much space.  Even so, I stream directly to twitch from my Xbox and there aren’t any delays or issues even though I’m in a small town without prime internet speeds.  For non optimized games you can add an external hard drive, which I also have.  Xbox is the way to go from the research I have been doing.  This current deal is too good to pass up, especially when it’s plug and play with 3 months of game pass.
"
52,Grace Hilal Pioneer,Amazing deal and console,5.0,"
The fact that a ps5 is 600$ and this bundle is only 240$ with 3 months of game pass is amazing, Xbox is so much better then play station and Microsoft is the best thing in the world, use Bing not google, use Xbox not play station, plus Microsoft rewards, what else can you ask for?
"
53,Hunter Jones,Cool,5.0,"
The best
"
54,Jose Avila,Great Console,5.0,"
Great Console much better value  than PS5
"
55,Conner Anger,waste of money keep ur xbox one or get the series x,1.0,"
it has all the same issues as the xbox one, less storage then the higher models. i have issues with frames with games running with quick resume the latency is pretty much the same regardless of where i play it. when powered off there a 50/50 chance that when you turn it on it it will refuse to connect to the internet or your controller will refuse to connect, the only way to solve this is unplugging a replugging back in. save your money buy the ps5 or ps4 honestly so much better as long as you get a good controller.
"
56,Matt V.,Do not get for your kids,1.0,"
This system is the absolute worst! You have to sign up for all kinds of different accounts and websites just to play different games. The console never connects to your internet. On average, it takes 30 minutes to get your kid into a game when you first turn it on. I highly recommend a system that you insert the game disc and play right away without jumping through all these hoops just to play a game.
"
57,HbEoLyL,Good,1.0,"
Microsoft had always been know to scam but let me make it easy you won’t have storage for anything. Nowadays games are 100-150gbs per game that’s not even including updates and add ons so with the 512gb storage limits you to like 3 games it’s so dumb now that you don’t have any more space and you want more games they make you get this over prices internal storage expansion which is 150-200$ so at the end of the day your gonna end up paying the price is a series x either way so please read this cause it’ll save you headache just get the series x
"
58,Alan,atrasos en entrega de producto,1.0,"
no tengo problema con el producto como tal, mas bien con amazon que me hace esperar yo pedi esto en noviembre y me siguen atrasando el producto, me cambian la fecha... esto es muy molesto para mi
"
59,Problema con game pass,Game pass,4.0,"
No me agrado que para reclamar el game pass toque usar si o si tarjeta en vez de poner codigo
"
60,John Stiles,LOVE IT,5.0,"
Buying electronics on Amazon can be sketchy but with this Xbox series S it’s just the real deal. Nothing fake it’s the real Xbox.👍🏾 it also only took two days to get here!!
"
61,"Great console, great price.","Great console, great price.",5.0,"
Great price, great console
"
62,Caden R.,of course it doesn't have 512 gb of storage,5.0,"
Every video game console needs to take gb away to run the OS it's a good console. Don't expect crazy storage space out of something that's 250$
"
63,Randy,"
Fantastic!
",5.0,"
Decided to bite the bullet and covet the console spread.  This little thing is cool and powerful. Sleek and operates amazing!  3 months gamepass was a nice addition too!
"
64,Kelly J,"
Happy Kid at Christmas!
",5.0,"
I purchased this as a gift for my nephew and he was ecstatic! The sleek design and color were a hit - it was easy to set up and install games, and the 3 month game pass that was included is awesome. We had him set up and his first game installed within 30 minutes! This bundle was a great hit and I would recommend anyone thinking about it to do it - good price on it!
"
65,GrimmLynn,"
Moved from PS4 to this
",5.0,"
works really well. love that it doesn't need a disc.
"
66,tanner,"
Great for gaming but storage place is incredibly low.
",4.0,"
Storage space is only 360 gigabytes. In today’s day and age is disgustingly low because games are getting bigger and bigger. Other than that it’s great, for me this is just temporary until k upgrade to a pc, if you’re a casual gamer and only play a few games this is perfect for you. Graphics are good and games in 60fps is awesome, load times are great.It’s good if you’re more “hardcore” and play a lot but you’ll have to shuffle games around a lot but if you want a lot of space, better graphics, and potentially higher fps I’d recommend getting the series x.
"
67,Amazon Customer,"
My husband loved it
",5.0,"
At the start, we were confused because it did not have the game pass card so I even felt upset. However we gave it a chance, we did the set and at the end, the three free months were activated in the same console. So everything was great, the Xbox is amazing, we are enjoying a lot this.
"
68,Jamie Boileau,"
Includes 3 months of ultimate game pass
",5.0,"
I like everything about the systemThe price was decent and I used affirm pay in installments only thing I didn't like about this purchase is it took about a week to recieve it you would hope and think when spending 500 on something that you would get a next day option for delivery and intercom delivery just left it on my deck a foot from the side walk with no notification it was delivered and no knock on the door no signing for the package like it was suppose to 500 could of been gone just like that very irresponsible of the delivery service that's who was chosen to deliver based on options of when to recieve it
"
69,Shawn,"
Xbox Series S missing 3mth Game Pass
",1.0,"
Purchased Xbox Series S from Amazon Warehouse deals. Ad stated it would come with a 3 month game pass code - did not receive it.  Amazon wants the Xbox returned even though we have games and profiles set up and do not want to provide a game pass code. Keep an eye on making sure you have this in the box when buying.
"
70,Hal Young,"
Love it
",5.0,"
Runs very fast
"
71,Kootenay Boy,"
Xbox console is great the new game pass is a deal breaker
",4.0,"
I love the Xbox series S so far Ive owned every generation since the first one dropped way way back in fact Ive bought 2 of most to game with my son. The Series S was a temp until I got the Series X  as it has some limitations that bother me in not being able to play the library of games I already own in hard copy.  Im very impressed with the console it has all you need and more in features but is a little lacking in storage and no hard drive no HDMI in for chromecast or firestick none of which are deal breakers for me personally.The downside is not the console but the path Xbox has chosen with its online play getting rid of the Live Gold plans and switched you to the Game Pass Ultimate  the only thing ultimate is the cost.  its insane and all the great prices the free games and deals sales etc are all GONE  I used really push the Xbox for how it treated its supporters (clients, customers) as it was SO much better than Sony and how they charged you insane prices for games  Xbox kept things reasonable  even great and you came back and back bought more newest consoles controllers accessories and so on.  You can no longer use that as a selling point to switch people from Sony PS5 to XboxThis will be my last Xbox console not because of the console but the service and online play its just gotten too greedy
"
72,Steacey Chevalier,"
Next Gen a petit budget
",4.0,"
J'adore vraiment cette série S ! La seule console sur le marché, en ce moment, à offrir les jeux next gen pour beaucoup moins chère!Certe la série S est moins puissante que la série X ou encore que la PS5, mais elle vous permettra de jouer au exclusivité de Microsoft sur la dernière génération de console en plus d'être rétro compatible avec les jeux de Xbox original et de Xbox 360. Pour moi qui ne cherchais pas a tout prix à avoir des graphismes aussi beau que pourrait offrir les autres consoles celle-ci me convient parfaitement (si vous cherchez des beaux graphismes achetez donc un PC).L'interface est fluide et la prise en main très rapide. Une fois le compte Microsoft configuré a la console vous serez en mesure d'activer l'abonnement au gamepass d'une durée de 3 mois gratuitement.Je retire une étoile car le stockage est vraiment limité et vous devrez à coup sûr acheter de l'espace de stockage dans le futur, surtout si vous aimez tester/jouer a plusieurs jeux.
"
73,Leigh Risser,"
Good second choice
",4.0,"
Good for playing new X/s only games but lacks storage. Only really worth it if you play a handful of games, I only have storage for 4-5 games, 2 of which are kind of large files. Anything more and you have to pay another $100 or so for extra storage. If that's the case just hold out and get the X
"
74,Toklir S.,"
Great option instead of the more expensive Series X
",4.0,"
Perfect for those who don’t want to put down so much money on a console like the PS5 or Series X. Very silent, quick to boot up and load anything! Wish it had a disk reader but besides that a great console!
"
75,Andrew Maw,"
Xmas Gift approved
",5.0,"
The middle Child we have to show we love...Because you know. THEY are the middle child. Bought him this for Xmas and he absolutely LOVED IT. No disk drive but you can buy an external one. He plays the brainwashing games like roblox and minecraft on it...Comes out like a zombie. So i guess it works as intended. Cant really complain. Price was right and he wanted an Xbox over a PS5....Wait a second. I dont know many other people who would choose this...BUT he is the middle child right?
"
76,Allison,"
Works perfectly
",4.0,"
Great product. My son was very happy with it. Only issue is it did not come in an Amazon box so the Xbox logo was very easy to see. Was left on doorstep but was able to get home to bring it in before my son saw his Christmas gift.
"
77,luanam,"
Good Deal
",5.0,"
I was hesitant to order this after seeing the bad stars reviews, but I ordered anyway to try myself! It all comes intact and awesome! There won’t be any card with the 3 months pass, you have to turn the game on and it will show up the 3 months pass!
"
78,Tom Dimma,"
Fun
",4.0,"
Love the system. Do not like waiting to play, it is a bit of an issue withe game pass.
"
79,Tweety,"
very happy with the xbox
",4.0,"
Used for gaming is perfect
"
80,Amy Steffens,"
Fantastic deal!
",5.0,"
I'm super happy with this bundle and so is my son! Although I have prime and it said 2 day deliver it did come December 28th, other then that everything came in perfect condition and for anyone wondering about the game pass, it comes with the bundle for sure!
"
81,Amazon Customer,"
Excellent quality
",5.0,"
Excellent quality for the price. My son is very happy with it
"
82,Client d'Amazon,"
Excellent produit
",5.0,"
La console marche parfaitement. Le gamepass était déjà préinscrit sur la console. J'ai pu joué très rapidement!
"
83,jean-philippe,"
Séries S
",5.0,"
J’ai profité de la promo des fêtes 2023Arrivée comme prévuSans dommage, bien emballéTout est fonctionnel
"
84,Bj hare,"
Video game
",5.0,"
We are new to video gaming but love the graphics. I hope we get better at it with practice. Lol
"
85,Marc,"
Great
",5.0,"
small beast
"
86,Gaige,"
Came in perfect/working condition
",5.0,"
The Xbox comes pre-installed with the gamepass so don't be scared if you don't get a card in your box. You have to set everything up first. Overall great product, i'm loving it.
"
87,Catherine Carlisle,"
Excellent purchase
",5.0,"
This was purchased for our grandson for Christmas.  He’s definitely in love with it!
"
88,Garfield ,"
Gaming out
",5.0,"
It’s keeping my son busy and but not all the the time
"
89,Marche super bien zéro problème impeccable ,"
Bonne qualité
",5.0,
90,Dominique Simpson,"
Awesome gift ever
",5.0,"
Good afternoon my step son is in love with this gaming device ever since he got it on Christmas Day he’s been playing it ever since has not come off
"
91,Caleb Perzan,"
pretty damn great
",5.0,"
delivered faster than expected, 10/10 product
"
92,Terry C,"
Great value for the money for this Xbox S
",5.0,"
It was easy to set up. Great value as starter bundle for the small budget gamer in the family.
"
93,Lindsay Johnstone,"
Awesome
",5.0,"
Great for kids because they don’t have to touch a disc so no chance of scratching it.
"
94,Tres bonne achat,"
Super bonne achat
",5.0,"
Vraiment un bonne achat pour le prix. La console marche super bien et elle est arrivé dans les meilleurs délais.
"
95,"came exactly as it said it would. Works perfectly for me, the game pass is uploaded to the console so you can go to settings to find and activate it at any time","
Perfect
",5.0,"
n/a
"
96,Amazon Customer,"
Perfect
",5.0,"
Work’s well
"
97,Jaime Byrne,"
Loved it
",5.0,"
Got it for my son and he loves it
"
98,Guy Morand,"
excellente
",5.0,"
prend absolument une tv 4k
"
99,Earl Bucknell,"
5🌟
",5.0,"
5🌟 son is over joyed
"
